gemeinde,jahr,0-14 Jahre alt,15-29 Jahre alt,30-44 Jahre alt,45-59 Jahre alt,60-74 Jahre alt,75-89 Jahre alt,90-104 Jahre alt
Thalheim,2018,159,113,163,272,149,51,10
Thalheim,2019,162,119,170,284,144,55,8
Thalheim,2020,153,135,179,268,147,63,8
Thalheim,2021,164,130,186,274,152,63,7
Thalheim,2022,159,135,197,261,151,71,5
Thalheim,2023,176,146,201,268,159,71,6
Thalwil,2010,2488,2547,4303,3757,2682,1283,129
Thalwil,2011,2516,2551,4297,3795,2662,1295,140
Thalwil,2012,2526,2533,4249,3858,2681,1316,146
Thalwil,2013,2601,2522,4314,3895,2670,1343,150
Thalwil,2014,2665,2493,4309,3945,2675,1372,150
Thalwil,2015,2711,2466,4320,3997,2675,1404,155
Thalwil,2016,2776,2398,4248,4024,2672,1443,166
Thalwil,2017,2801,2358,4257,4040,2698,1473,157
Thalwil,2018,2840,2411,4228,4070,2687,1553,175
Thalwil,2019,2873,2443,4252,4072,2675,1626,180
Thalwil,2020,2881,2493,4295,4070,2673,1652,199
Thalwil,2021,2943,2499,4438,4066,2691,1685,203
Thalwil,2022,2910,2423,4416,4046,2668,1712,210
Thalwil,2023,2932,2471,4461,4077,2660,1744,205
Truttikon,2010,96,67,98,114,73,23,4
Truttikon,2011,94,63,88,122,71,27,4
Truttikon,2012,88,71,78,129,71,25,3
Truttikon,2013,82,66,78,126,73,23,3
Truttikon,2014,79,77,76,128,71,29,3
Truttikon,2015,84,82,71,133,70,30,3
Truttikon,2016,82,86,60,135,72,32,2
Truttikon,2017,80,88,63,132,81,31,2
Truttikon,2018,78,87,58,136,81,36,2
Truttikon,2019,68,87,57,125,89,35,3
Truttikon,2020,65,78,59,120,91,35,2
Truttikon,2021,65,74,62,120,94,35,2
Truttikon,2022,63,72,70,123,92,43,1
Truttikon,2023,64,68,76,120,99,43,1
Trüllikon,2010,144,168,187,240,187,63,4
Trüllikon,2011,145,142,205,238,197,59,6
Trüllikon,2012,144,132,195,234,214,57,6
Trüllikon,2013,153,115,202,239,210,62,8
Trüllikon,2014,148,134,204,237,216,66,8
Trüllikon,2015,146,141,188,237,217,76,9
Trüllikon,2016,162,154,195,245,224,76,8
Trüllikon,2017,156,144,184,248,231,79,12
Trüllikon,2018,154,145,185,240,240,84,14
Trüllikon,2019,147,140,192,234,243,88,12
Trüllikon,2020,140,139,203,240,240,84,9
Trüllikon,2021,139,142,202,237,240,92,8
Trüllikon,2022,140,149,198,235,238,98,7
Trüllikon,2023,139,163,202,233,241,105,7
Turbenthal,2010,701,817,838,1023,582,222,16
Turbenthal,2011,680,840,812,1066,620,227,18
Turbenthal,2012,687,835,795,1077,657,232,17
Turbenthal,2013,680,807,810,1099,687,233,18
Turbenthal,2014,712,810,829,1098,717,253,22
Turbenthal,2015,717,779,850,1086,756,260,21
Turbenthal,2016,774,800,892,1093,812,273,18
Turbenthal,2017,802,793,926,1096,829,279,23
Turbenthal,2018,858,793,985,1099,831,300,24
Turbenthal,2019,842,790,959,1100,846,329,25
Turbenthal,2020,886,765,1001,1102,852,350,33
Turbenthal,2021,886,783,999,1100,877,374,32
Turbenthal,2022,859,787,998,1067,926,370,34
Turbenthal,2023,876,802,1032,1088,954,392,33
Uetikon,2010,1045,789,1206,1351,936,364,37
Uetikon,2011,1031,836,1188,1415,944,374,49
Uetikon,2012,992,897,1185,1460,946,401,51
Uetikon,2013,923,918,1080,1540,950,412,56
Uetikon,2014,909,974,1057,1572,939,447,50
Uetikon,2015,857,1005,1023,1600,974,459,63
Uetikon,2016,874,1004,995,1641,975,486,67
Uetikon,2017,879,1048,1036,1637,989,495,61
Uetikon,2018,879,1016,1030,1652,980,544,57
Uetikon,2019,923,969,1026,1646,995,567,65
Uetikon,2020,920,974,1043,1620,1000,597,68
Uetikon,2021,931,975,1077,1598,1033,614,79
Uetikon,2022,941,941,1102,1565,1051,653,73
Uetikon,2023,952,951,1070,1516,1103,679,72
Uitikon,2010,573,460,788,953,672,409,32
Uitikon,2011,594,459,797,954,698,395,39
Uitikon,2012,600,440,802,971,703,389,39
Uitikon,2013,592,443,753,984,707,381,52
Uitikon,2014,602,455,751,1000,724,377,51
Uitikon,2015,632,480,778,1034,735,397,51
Uitikon,2016,640,490,764,1059,737,405,50
Uitikon,2017,632,524,765,1077,760,427,54
Uitikon,2018,670,509,818,1101,743,431,58
Uitikon,2019,746,561,956,1128,768,444,60
Uitikon,2020,797,563,1007,1143,777,447,65
Uitikon,2021,856,573,1131,1159,767,473,65
Uitikon,2022,889,585,1151,1135,788,482,66
Uitikon,2023,974,632,1313,1188,828,486,70
Unterengstringen,2010,457,520,730,817,608,222,13
Unterengstringen,2011,437,517,714,821,607,236,18
Unterengstringen,2012,436,531,703,830,636,239,18
Unterengstringen,2013,439,535,721,840,649,243,21
Unterengstringen,2014,466,533,757,874,650,261,27
Unterengstringen,2015,488,527,779,861,659,286,27
Unterengstringen,2016,534,521,802,881,672,304,30
Unterengstringen,2017,549,539,807,872,675,320,26
Unterengstringen,2018,580,533,833,885,693,320,33
Unterengstringen,2019,586,531,829,900,699,349,29
Unterengstringen,2020,592,548,857,896,703,355,30
Unterengstringen,2021,618,578,914,887,715,361,30
Unterengstringen,2022,630,572,911,876,716,376,32
Unterengstringen,2023,650,606,955,898,749,402,38
Urdorf,2010,1324,1535,2032,1854,1471,723,40
Urdorf,2011,1387,1603,2080,1937,1458,737,47
Urdorf,2012,1440,1613,2124,2003,1466,763,47
Urdorf,2013,1451,1571,2144,2047,1455,788,49
Urdorf,2014,1480,1599,2145,2064,1448,817,58
Urdorf,2015,1493,1595,2143,2094,1432,854,62
Urdorf,2016,1502,1579,2100,2068,1455,872,65
Urdorf,2017,1548,1543,2149,2083,1450,925,70
Urdorf,2018,1568,1549,2151,2101,1451,946,67
Urdorf,2019,1557,1605,2172,2116,1467,982,76
Urdorf,2020,1581,1572,2230,2082,1470,997,77
Urdorf,2021,1605,1617,2261,2157,1458,1030,83
Urdorf,2022,1627,1625,2302,2181,1457,1052,83
Urdorf,2023,1625,1620,2292,2191,1525,1037,100
Uster,2010,4980,5974,7687,6836,4753,1898,147
Uster,2011,5058,5910,7656,7008,4812,1940,163
Uster,2012,5066,5871,7596,7146,4854,1998,179
Uster,2013,5132,5860,7572,7294,4938,2068,184
Uster,2014,5193,5833,7557,7462,5007,2141,190
Uster,2015,5266,5836,7641,7595,5075,2242,198
Uster,2016,5325,5841,7622,7712,5159,2349,207
Uster,2017,5356,5882,7621,7714,5198,2434,236
Uster,2018,5356,5902,7575,7814,5168,2585,247
Uster,2019,5442,5856,7680,7906,5121,2721,260
Uster,2020,5420,5835,7797,7969,5149,2834,291
Uster,2021,5471,5799,7856,7948,5199,2945,290
Uster,2022,5495,5702,7968,7925,5301,3036,295
Uster,2023,5541,5770,8180,7884,5457,3155,291
Volken,2010,61,50,68,77,34,20,0
Volken,2011,60,47,67,81,32,18,2
Volken,2012,62,49,58,89,30,21,2
Volken,2013,62,45,58,92,26,21,1
Volken,2014,68,57,66,97,30,20,1
Volken,2015,71,48,62,103,30,24,1
Volken,2016,64,52,60,103,30,25,2
Volken,2017,67,53,56,105,31,24,1
Volken,2018,71,56,63,113,32,26,1
Volken,2019,80,56,73,112,33,25,1
Volken,2020,81,56,77,108,35,25,1
Volken,2021,76,55,88,105,42,23,3
Volken,2022,69,60,79,105,44,23,1
Volken,2023,63,61,75,104,52,23,2
Volketswil,2010,2967,3010,4444,3708,2579,671,33
Volketswil,2011,2968,3022,4434,3767,2609,737,35
Volketswil,2012,2977,3043,4397,3880,2630,778,38
Volketswil,2013,3004,3073,4374,4047,2673,826,43
Volketswil,2014,3061,3145,4348,4156,2729,891,54
Volketswil,2015,3117,3091,4297,4235,2756,936,57
Volketswil,2016,3103,3056,4220,4281,2774,1007,58
Volketswil,2017,3138,2991,4177,4366,2772,1107,64
Volketswil,2018,3140,2948,4111,4420,2728,1188,62
Volketswil,2019,3138,2908,4060,4470,2710,1269,68
Volketswil,2020,3170,2973,4027,4520,2753,1332,76
Volketswil,2021,3222,3010,4070,4517,2809,1403,76
Volketswil,2022,3199,3167,4101,4549,2847,1469,88
Volketswil,2023,3196,3241,4154,4557,2911,1555,103
Wald,2010,1403,1746,1755,2152,1161,683,61
Wald,2011,1412,1767,1856,2193,1210,690,73
Wald,2012,1431,1726,1880,2244,1286,687,67
Wald,2013,1419,1647,1886,2280,1321,694,67
Wald,2014,1412,1652,1912,2303,1384,703,80
Wald,2015,1409,1636,1855,2293,1455,691,82
Wald,2016,1439,1646,1900,2312,1498,703,93
Wald,2017,1439,1662,2010,2298,1542,720,87
Wald,2018,1499,1651,2075,2306,1577,729,89
Wald,2019,1527,1636,2129,2310,1641,751,84
Wald,2020,1567,1610,2165,2326,1690,735,89
Wald,2021,1582,1591,2207,2284,1767,751,90
Wald,2022,1578,1623,2202,2258,1832,749,93
Wald,2023,1597,1643,2250,2232,1914,790,99
Wallisellen,2010,1906,2489,3417,2748,1945,996,97
Wallisellen,2011,1951,2605,3513,2849,1963,1028,119
Wallisellen,2012,2034,2520,3596,2885,1971,1036,107
Wallisellen,2013,2186,2536,3863,3050,1980,1063,109
Wallisellen,2014,2277,2676,4021,3128,2034,1065,113
Wallisellen,2015,2382,2699,4119,3145,2074,1068,115
Wallisellen,2016,2404,2730,4145,3269,2096,1074,131
Wallisellen,2017,2425,2654,4130,3297,2115,1102,132
Wallisellen,2018,2472,2711,4299,3387,2094,1148,132
Wallisellen,2019,2527,2822,4546,3427,2096,1206,150
Wallisellen,2020,2599,2897,4635,3510,2138,1235,157
Wallisellen,2021,2639,2858,4647,3509,2161,1274,151
Wallisellen,2022,2669,2796,4667,3551,2157,1274,163
Wallisellen,2023,2686,2830,4777,3612,2193,1281,174
Wangen-Brüttisellen,2010,1219,1540,1849,1755,901,258,17
Wangen-Brüttisellen,2011,1248,1494,1801,1833,919,271,22
Wangen-Brüttisellen,2012,1201,1448,1806,1834,963,298,23
Wangen-Brüttisellen,2013,1217,1389,1829,1843,984,307,24
Wangen-Brüttisellen,2014,1217,1396,1765,1892,1010,329,23
Wangen-Brüttisellen,2015,1236,1427,1725,1927,1048,354,25
Wangen-Brüttisellen,2016,1242,1447,1754,1912,1106,387,26
Wangen-Brüttisellen,2017,1247,1436,1757,1886,1141,400,25
Wangen-Brüttisellen,2018,1220,1427,1748,1894,1171,422,35
Wangen-Brüttisellen,2019,1267,1412,1733,1906,1161,455,32
Wangen-Brüttisellen,2020,1273,1362,1787,1858,1191,487,32
Wangen-Brüttisellen,2021,1259,1347,1760,1836,1208,514,31
Wangen-Brüttisellen,2022,1305,1363,1779,1828,1240,526,34
Wangen-Brüttisellen,2023,1335,1324,1825,1847,1280,540,41
Wasterkingen,2010,85,83,104,179,72,35,1
Wasterkingen,2011,83,84,95,171,79,35,0
Wasterkingen,2012,79,85,91,168,89,35,0
Wasterkingen,2013,87,78,105,171,96,32,3
Wasterkingen,2014,92,69,99,173,104,29,2
Wasterkingen,2015,89,75,98,164,116,28,3
Wasterkingen,2016,89,74,90,149,123,31,3
Wasterkingen,2017,91,78,89,153,128,31,4
Wasterkingen,2018,84,83,82,138,134,29,4
Wasterkingen,2019,84,80,83,135,142,31,5
Wasterkingen,2020,77,83,86,134,143,35,6
Wasterkingen,2021,85,80,89,134,152,39,6
Wasterkingen,2022,81,73,101,129,155,43,5
Wasterkingen,2023,78,66,103,123,160,43,4
Weiach,2010,116,166,194,292,142,63,7
Weiach,2011,127,168,207,306,140,67,7
Weiach,2012,144,185,218,304,154,65,6
Weiach,2013,139,172,223,303,163,66,8
Weiach,2014,163,181,242,320,173,66,8
Weiach,2015,209,216,305,376,193,70,8
Weiach,2016,220,236,329,403,211,64,7
Weiach,2017,266,301,428,441,241,68,5
Weiach,2018,272,324,445,437,246,78,7
Weiach,2019,297,339,469,446,264,83,7
Weiach,2020,313,336,503,450,296,78,11
Weiach,2021,335,336,527,451,302,88,11
Weiach,2022,329,337,529,453,322,93,11
Weiach,2023,338,337,539,465,327,99,11
Weiningen,2010,688,750,917,1088,579,190,17
Weiningen,2011,674,765,930,1099,580,194,19
Weiningen,2012,663,776,899,1113,606,200,24
Weiningen,2013,690,767,903,1124,619,217,20
Weiningen,2014,674,787,915,1123,654,234,20
Weiningen,2015,687,798,934,1138,684,244,25
Weiningen,2016,725,886,992,1163,707,246,29
Weiningen,2017,723,878,1023,1135,708,264,29
Weiningen,2018,756,870,1028,1124,728,287,23
Weiningen,2019,750,829,1046,1096,773,280,26
Weiningen,2020,756,824,1056,1111,784,298,28
Weiningen,2021,757,797,1069,1097,779,334,29
Weiningen,2022,756,773,1093,1093,785,348,29
Weiningen,2023,790,785,1173,1090,831,365,25
Weisslingen,2010,571,524,643,803,497,177,10
Weisslingen,2011,562,499,636,804,503,189,9
Weisslingen,2012,573,459,596,809,530,195,11
Weisslingen,2013,536,502,571,831,554,202,12
Weisslingen,2014,536,504,556,840,572,215,13
Weisslingen,2015,530,507,538,845,600,223,12
Weisslingen,2016,520,496,544,851,606,232,15
Weisslingen,2017,529,515,540,844,611,242,20
Weisslingen,2018,540,521,572,859,619,252,21
Weisslingen,2019,540,518,559,858,613,263,18
Weisslingen,2020,524,529,566,848,623,256,24
Weisslingen,2021,529,522,622,839,624,272,29
Weisslingen,2022,511,529,636,829,626,274,30
Weisslingen,2023,518,512,657,813,645,292,21
Wettswil am Albis,2010,759,616,1031,944,844,307,14
Wettswil am Albis,2011,793,581,1059,950,856,330,20
Wettswil am Albis,2012,787,555,1038,980,845,342,27
Wettswil am Albis,2013,792,598,1006,1030,820,366,21
Wettswil am Albis,2014,809,606,998,1062,833,383,20
Wettswil am Albis,2015,864,631,1058,1105,833,398,31
Wettswil am Albis,2016,919,632,1130,1143,820,430,31
Wettswil am Albis,2017,918,637,1075,1184,796,453,34
Wettswil am Albis,2018,947,637,1074,1197,816,468,33
Wettswil am Albis,2019,962,634,1097,1216,810,478,38
Wettswil am Albis,2020,968,655,1124,1199,807,485,40
Wettswil am Albis,2021,963,660,1104,1201,816,505,37
Wettswil am Albis,2022,961,645,1097,1196,807,531,44
Wettswil am Albis,2023,973,649,1077,1199,814,544,50
Wetzikon,2010,3391,4555,4787,4721,3049,1460,118
Wetzikon,2011,3433,4638,4914,4872,3118,1538,123
Wetzikon,2012,3443,4793,5060,4991,3232,1587,148
Wetzikon,2013,3470,4876,5174,5067,3299,1607,166
Wetzikon,2014,3501,4866,5216,5122,3364,1644,174
Wetzikon,2015,3575,4992,5351,5186,3388,1700,181
Wetzikon,2016,3635,4910,5385,5206,3465,1764,199
Wetzikon,2017,3651,4741,5369,5164,3507,1817,203
Wetzikon,2018,3684,4761,5473,5196,3520,1931,199
Wetzikon,2019,3751,4800,5479,5175,3595,1981,204
Wetzikon,2020,3821,4661,5499,5179,3651,2020,207
Wetzikon,2021,3931,4614,5671,5177,3750,2107,201
Wetzikon,2022,4026,4643,5867,5214,3852,2170,217
Wetzikon,2023,4102,4637,6045,5218,3965,2239,215
Wiesendangen,2010,982,917,1224,1344,935,427,24
Wiesendangen,2011,975,938,1213,1365,957,448,25
Wiesendangen,2012,980,960,1188,1417,947,460,25
Wiesendangen,2013,996,934,1194,1430,970,486,29
Wiesendangen,2014,991,937,1186,1476,997,494,33
Wiesendangen,2015,999,963,1156,1525,1028,515,40
Wiesendangen,2016,1020,944,1138,1556,1039,537,47
Wiesendangen,2017,1034,988,1129,1559,1049,540,56
Wiesendangen,2018,1047,1002,1169,1569,1089,575,61
Wiesendangen,2019,1053,1013,1176,1577,1117,595,70
Wiesendangen,2020,1067,985,1189,1564,1143,615,73
Wiesendangen,2021,1091,943,1227,1537,1155,627,79
Wiesendangen,2022,1079,957,1231,1536,1178,646,72
Wiesendangen,2023,1076,955,1213,1526,1216,661,75
Wil,2010,181,231,261,316,201,85,6
Wil,2011,183,226,260,322,206,93,6
Wil,2012,185,218,253,324,216,93,9
Wil,2013,194,214,253,322,230,92,7
Wil,2014,205,207,258,335,240,99,7
Wil,2015,206,210,253,348,246,102,10
Wil,2016,205,197,247,345,256,100,14
Wil,2017,213,187,259,365,265,100,18
Wil,2018,218,191,257,363,277,100,15
Wil,2019,231,214,255,368,290,102,12
Wil,2020,228,231,257,364,285,112,10
Wil,2021,233,222,269,365,303,111,13
Wil,2022,247,218,288,363,315,119,14
Wil,2023,246,210,288,358,325,132,17
Wila,2010,285,378,373,489,276,122,10
Wila,2011,288,366,347,493,285,122,7
Wila,2012,274,374,352,507,297,126,12
Wila,2013,271,357,330,507,310,125,16
Wila,2014,263,359,327,505,325,130,11
Wila,2015,269,348,327,495,347,127,13
Wila,2016,269,347,340,498,353,127,7
Wila,2017,292,331,360,497,357,130,8
Wila,2018,287,310,365,496,367,135,11
Wila,2019,299,313,366,481,370,137,12
Wila,2020,308,310,362,490,372,142,12
Wila,2021,327,290,379,470,379,156,15
Wila,2022,330,302,398,451,395,153,15
Wila,2023,343,310,391,451,404,162,18
Wildberg,2010,169,135,242,225,141,51,2
Wildberg,2011,170,130,247,235,142,55,2
Wildberg,2012,170,145,242,243,145,55,2
Wildberg,2013,165,146,237,233,147,54,3
Wildberg,2014,172,137,233,236,152,56,5
Wildberg,2015,176,135,223,249,156,62,5
Wildberg,2016,176,125,218,241,157,57,6
Wildberg,2017,183,122,224,237,163,58,7
Wildberg,2018,186,118,223,244,167,56,8
Wildberg,2019,178,118,205,246,168,60,7
Wildberg,2020,189,121,198,255,177,63,6
Wildberg,2021,191,125,185,269,173,70,7
Wildberg,2022,188,127,191,259,179,76,8
Wildberg,2023,181,145,186,260,170,76,7
Winkel,2010,555,553,958,983,683,187,8
Winkel,2011,530,576,883,1019,687,196,12
Winkel,2012,559,573,942,1085,698,216,11
Winkel,2013,569,586,947,1113,716,238,14
Winkel,2014,558,600,897,1109,737,245,17
Winkel,2015,563,612,890,1150,737,267,18
Winkel,2016,574,644,935,1151,747,294,19
Winkel,2017,578,667,967,1201,763,317,18
Winkel,2018,578,657,925,1204,787,338,18
Winkel,2019,592,626,902,1209,806,370,19
Winkel,2020,656,621,930,1198,833,388,23
Winkel,2021,704,644,1025,1195,857,412,25
Winkel,2022,700,627,1033,1180,877,409,29
Winkel,2023,718,628,1049,1182,870,444,32
Winterthur,2010,15027,21033,23634,19948,13466,7373,722
Winterthur,2011,15190,21408,23948,20637,13563,7441,779
Winterthur,2012,15419,21418,24463,21014,13736,7494,822
Winterthur,2013,15577,21339,24720,21475,13932,7570,848
Winterthur,2014,15853,21194,25123,21780,14087,7638,877
Winterthur,2015,16208,21274,25635,22116,14227,7683,901
Winterthur,2016,16581,21385,25992,22322,14371,7794,931
Winterthur,2017,16939,21276,26474,22464,14465,8013,938
Winterthur,2018,17180,21228,26751,22550,14705,8155,985
Winterthur,2019,17521,21200,27452,22567,14827,8300,1042
Winterthur,2020,17697,21151,27971,22579,15166,8448,1073
Winterthur,2021,17821,21079,28384,22539,15409,8631,1098
Winterthur,2022,17983,21273,29126,22648,15683,8772,1124
Winterthur,2023,18215,21653,29890,22899,16206,8957,1167
Wädenswil,2010,3552,3921,4992,5102,3814,1651,153
Wädenswil,2011,3574,3946,5164,5242,3875,1669,164
Wädenswil,2012,3486,3938,5084,5333,3967,1727,163
Wädenswil,2013,3427,3966,4947,5453,3999,1752,178
Wädenswil,2014,3477,3923,4979,5545,4039,1817,197
Wädenswil,2015,3529,3995,5032,5607,4087,1883,197
Wädenswil,2016,3594,3933,4974,5663,4097,1973,193
Wädenswil,2017,3612,3839,4958,5654,4122,2069,201
Wädenswil,2018,3600,3763,4869,5644,4112,2125,208
Wädenswil,2019,3674,3801,4890,5670,4106,2215,213
Wädenswil,2020,3705,3833,4959,5658,4104,2329,220
Wädenswil,2021,3708,3807,4984,5631,4159,2407,235
Wädenswil,2022,3680,3876,5087,5573,4227,2467,250
Wädenswil,2023,3779,3922,5306,5606,4302,2558,254
Zell,2010,823,978,1182,1148,812,375,39
Zell,2011,859,971,1180,1168,830,383,35
Zell,2012,872,955,1187,1190,861,383,37
Zell,2013,890,937,1238,1273,875,385,39
Zell,2014,890,929,1220,1326,878,406,40
Zell,2015,886,931,1207,1314,900,417,35
Zell,2016,908,943,1172,1352,904,426,40
Zell,2017,959,950,1227,1398,908,450,37
Zell,2018,990,928,1246,1427,919,466,41
Zell,2019,1053,967,1342,1429,939,518,47
Zell,2020,1066,972,1369,1481,939,541,54
Zell,2021,1071,959,1381,1451,979,548,51
Zell,2022,1060,960,1403,1424,1010,569,61
Zell,2023,1088,1046,1451,1447,1049,567,64
Zollikon,2010,1721,1366,2619,2537,2172,1416,192
Zollikon,2011,1728,1418,2584,2582,2141,1428,218
Zollikon,2012,1755,1377,2620,2653,2093,1412,242
Zollikon,2013,1791,1426,2620,2766,2036,1438,242
Zollikon,2014,1876,1470,2612,2801,2066,1434,257
Zollikon,2015,1961,1507,2656,2886,2053,1427,253
Zollikon,2016,2020,1519,2632,2916,2017,1422,253
Zollikon,2017,2116,1519,2700,2953,1993,1427,253
Zollikon,2018,2138,1527,2678,2993,1965,1427,268
Zollikon,2019,2107,1572,2671,3017,1945,1450,277
Zollikon,2020,2160,1641,2772,3040,1921,1501,258
Zollikon,2021,2173,1637,2800,3041,1960,1490,262
Zollikon,2022,2165,1643,2836,3073,1959,1519,264
Zollikon,2023,2161,1695,2768,3107,2018,1537,264
Zumikon,2010,795,677,955,1077,989,550,44
Zumikon,2011,811,679,941,1086,1004,573,53
Zumikon,2012,820,676,906,1125,982,598,55
Zumikon,2013,837,655,891,1149,986,590,56
Zumikon,2014,815,647,878,1166,977,590,59
Zumikon,2015,831,648,827,1218,971,608,65
Zumikon,2016,834,652,805,1206,965,614,66
Zumikon,2017,820,666,789,1235,925,622,63
Zumikon,2018,841,706,817,1264,927,641,70
Zumikon,2019,884,744,879,1312,913,671,78
Zumikon,2020,904,746,882,1351,908,695,87
Zumikon,2021,915,756,924,1316,883,702,88
Zumikon,2022,925,746,945,1325,885,711,86
Zumikon,2023,924,810,967,1358,906,695,98
Zürich,2010,46532,67486,107654,70023,45988,30551,3810
Zürich,2011,47720,67777,109263,71306,45976,30012,3950
Zürich,2012,48647,67875,110824,72491,46294,29597,4184
Zürich,2013,49884,68221,111916,73747,46528,29104,4304
Zürich,2014,51449,69656,114183,75179,46889,28742,4372
Zürich,2015,52894,70377,116133,76590,47357,28293,4378
Zürich,2016,54382,70853,117913,77650,47725,28087,4526
Zürich,2017,56113,71473,120794,78768,47790,27914,4589
Zürich,2018,57782,72261,123611,79853,48012,27795,4592
Zürich,2019,58927,72875,125728,80805,48184,27816,4670
Zürich,2020,59578,72433,126541,81542,48430,27778,4585
Zürich,2021,59876,73173,126052,82112,48596,27815,4576
Zürich,2022,59694,75261,127463,83171,48958,27901,4439
Zürich,2023,59958,76773,128838,84548,50088,27873,4471
